timestamp,close_ibit,close_btc,ibit_call,ibit_put,strike,above,above_weight,below,below_weight,volatility
2024-11-25 10:00:00,54.65,96058.0,3.9,3.9,54.5,98253.25,9,91013.5,6,0.03
2024-11-25 11:00:00,54.56,95998.0,3.9,3.9,54.5,98253.25,9,91013.5,6,0.03
2024-11-25 12:00:00,54.12,95245.0,3.7,3.7,54.0,98253.25,9,91013.5,6,0.03
2024-11-25 13:00:00,54.11,95114.75,3.8,3.8,54.0,98253.25,9,91013.5,6,0.03
2024-11-25 14:00:00,53.85,94677.0,3.8,3.8,54.0,98253.25,9,91013.5,6,0.03
2024-11-25 15:00:00,54.04,94927.25,3.9,3.9,54.0,98253.25,9,91013.5,6,0.03
2024-11-26 10:00:00,52.84,92842.5,3.6,3.6,53.0,98253.25,9,91013.5,6,0.03
2024-11-26 11:00:00,53.56,94050.0,3.6,3.6,53.5,98253.25,9,91013.5,6,0.03
2024-11-26 12:00:00,53.28,93556.5,3.6,3.6,53.5,98253.25,9,91013.5,6,0.03
2024-11-26 13:00:00,52.43,92132.5,3.5,3.5,52.5,98253.25,9,91013.5,6,0.03
2024-11-26 14:00:00,52.13,91666.5,3.5,3.5,52.0,98253.25,9,91013.5,6,0.03
2024-11-26 15:00:00,51.71,91013.5,3.35,3.35,51.5,98253.25,9,67300.0,35,0.03
2024-11-27 10:00:00,54.46,95676.25,3.7,3.7,54.5,98253.25,9,91013.5,6,0.03
2024-11-27 11:00:00,54.59,95798.75,3.7,3.7,54.5,98253.25,9,91013.5,6,0.03
2024-11-27 12:00:00,54.9,96335.75,3.9,3.9,55.0,98253.25,9,91013.5,6,0.03
2024-11-27 13:00:00,54.85,96249.5,3.8,3.8,55.0,98253.25,9,91013.5,6,0.03
2024-11-27 14:00:00,55.16,96763.75,3.75,3.75,55.0,98253.25,9,91013.5,6,0.03
2024-11-27 15:00:00,55.06,96610.25,3.75,3.75,55.0,98253.25,9,91013.5,6,0.03
2024-11-29 10:00:00,56.01,98159.25,3.5,3.5,56.0,98253.25,9,91013.5,6,0.03
2024-11-29 11:00:00,55.85,97891.25,3.5,3.5,56.0,98253.25,9,91013.5,6,0.03
2024-11-29 12:00:00,55.25,97076.0,3.15,3.15,55.0,98253.25,9,91013.5,6,0.03
2024-12-02 10:00:00,55.36,97153.75,3.5,3.5,55.5,98253.25,9,91013.5,6,0.03
2024-12-02 11:00:00,54.83,96229.25,3.3,3.3,55.0,98253.25,9,91013.5,6,0.03
2024-12-02 12:00:00,53.9,94627.25,3.0,3.0,54.0,98253.25,9,91013.5,6,0.03
2024-12-02 13:00:00,54.52,95701.5,3.0,3.0,54.5,98253.25,9,91013.5,6,0.03
2024-12-02 14:00:00,54.61,95837.75,3.0,3.0,54.5,98253.25,9,91013.5,6,0.03
2024-12-02 15:00:00,54.52,95695.25,3.1,3.1,54.5,98253.25,9,91013.5,6,0.03
2024-12-03 10:00:00,54.57,95731.0,3.0,3.0,54.5,98253.25,9,91013.5,6,0.03
2024-12-03 11:00:00,54.22,95173.25,2.95,2.95,54.0,98253.25,9,91013.5,6,0.03
2024-12-03 12:00:00,54.64,95872.75,3.2,3.2,54.5,98253.25,9,91013.5,6,0.03
2024-12-03 13:00:00,54.43,95506.75,3.2,3.2,54.5,98253.25,9,91013.5,6,0.03
2024-12-03 14:00:00,54.4,95457.75,3.2,3.2,54.5,98253.25,9,91013.5,6,0.03
2024-12-03 15:00:00,54.48,95665.25,3.2,3.2,54.5,98253.25,9,91013.5,6,0.03
2024-12-04 10:00:00,54.63,95857.5,3.2,3.2,54.5,98253.25,9,91013.5,6,0.03
2024-12-04 11:00:00,54.06,94954.5,2.7,2.7,54.0,98253.25,9,91013.5,6,0.03
2024-12-04 12:00:00,54.48,95609.5,2.7,2.7,54.5,98253.25,9,91013.5,6,0.03
2024-12-04 13:00:00,54.83,96276.25,2.95,2.95,55.0,98253.25,9,91013.5,6,0.03
2024-12-04 14:00:00,55.49,97308.0,3.6,3.6,55.5,98253.25,9,91013.5,6,0.03
2024-12-04 15:00:00,56.45,98999.0,3.3,3.3,56.5,101843.0,6,91013.5,6,0.03
2024-12-05 10:00:00,57.72,101390.75,3.1,3.1,57.5,101843.0,6,91013.5,6,0.03
2024-12-05 11:00:00,57.6,101111.0,3.15,3.15,57.5,101843.0,6,91013.5,6,0.03
